"GEO_ID","NAME","GEO_ID_F","NAICS2012","NAICS2012_LABEL","INDGROUP","SUBSECTOR","SECTOR","INDLEVEL","NAICS2012_F","YEAR","ESTAB","RCPTOT","RCPTOT_N","PAYANN","PAYANN_N","PAYQTR1","PAYQTR1_N","PAYBR","PAYBR_N","PAYBV","PAYBV_N","EMP","EMP_N","EMPUNPD","EMPUNPD_N","OPEX","OPEX_N","INVTOTB","INVTOTB_N","INVTOTE","INVTOTE_N"
"id","Geographic Area Name","Geo Footnote","2012 NAICS code","Meaning of NAICS code","Industry group","SUBSECTOR","NAICS economic sector ","Industry level","2012 NAICS Footnote","Year","Number of establishments","Value of  business done ($1,000)","Noise range for receipts (%)","Annual payroll ($1,000)","Noise range for annual payroll (%)","First-quarter payroll ($1,000)","Noise range for first-quarter payroll (%)","Payroll taxes and any other legally required employee benefits ($1,000)","Noise range for payroll taxes and any other legally required employee benefits (%)","Voluntarily provided benefits ($1,000)","Noise range for voluntarily provided benefits (%)","Number of employees","Noise range for number of  employees (%)","Unpaid family workers (number)","Noise range for number of unpaid family workers (%)","Operating expenses ($1,000)","Noise range for operating expenses (%)","Total inventories, beginning-of-year ($1,000)","Noise range for total inventories, beginning-of-year (%)","Total inventories, end-of-year ($1,000)","Noise range for total inventories, end-of-year (%)"
"0400000US72","Puerto Rico","null","53211","Passenger car rental and leasing","5321","532","53","5","null","2012","120","195725","H","25719","H","6124","H","1817","H","2623","G","964","H","N","Noise infusion range not applicable","72453","H","X","Noise infusion range not applicable","X","Noise infusion range not applicable"
